Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF
E0,27/08/2022,Man City,Crystal Palace,4,2,H,0,2,A,1.2,7.5,16.26,0-2,4-2,18,5,2,2,1,2,0,0,6,1,14,8
E0,27/08/2022,Arsenal,Fulham,2,1,H,0,0,D,1.33,5.83,9.75,0-0,2-1,22,8,11,3,2,3,0,0,9,2,6,12
E0,28/08/2022,Aston Villa,West Ham,0,1,A,0,0,D,2.41,3.41,3.18,0-0,0-1,9,3,7,2,2,0,0,0,3,2,10,10
E0,28/08/2022,Wolves,Newcastle,1,1,D,1,0,H,2.76,3.32,2.79,1-0,1-1,10,4,21,6,2,1,0,0,4,13,10,11
E0,28/08/2022,Nottm Forest,Tottenham,0,2,A,0,1,A,7.15,4.63,1.49,0-1,0-2,17,1,18,7,6,1,0,0,6,1,11,13
E0,30/08/2022,Crystal Palace,Brentford,1,1,D,0,0,D,2.11,3.47,3.83,0-0,1-1,13,4,9,3,1,2,0,0,4,6,11,8
E0,30/08/2022,Fulham,Brighton,2,1,H,0,0,D,3.26,3.44,2.36,0-0,2-1,10,3,7,4,2,1,0,0,3,3,9,11
E0,30/08/2022,Southampton,Chelsea,2,1,H,2,1,H,5.28,4.24,1.67,2-1,2-1,9,7,10,4,2,1,0,0,5,3,15,10
E0,30/08/2022,Leeds,Everton,1,1,D,0,1,A,2.16,3.61,3.53,0-1,1-1,14,5,7,2,3,3,0,0,10,2,10,9
E0,31/08/2022,Arsenal,Aston Villa,2,1,H,1,0,H,1.5,4.67,6.97,1-0,2-1,22,9,4,3,2,3,0,0,10,3,10,14
E0,31/08/2022,Bournemouth,Wolves,0,0,D,0,0,D,3.52,3.43,2.24,0-0,0-0,5,2,17,4,2,1,0,0,2,5,12,12
E0,31/08/2022,Man City,Nottm Forest,6,0,H,3,0,H,1.08,13.43,31.06,3-0,6-0,17,9,8,1,0,1,0,0,10,1,9,7
E0,31/08/2022,West Ham,Tottenham,1,1,D,0,1,A,3.67,3.84,2.04,0-1,1-1,14,4,13,4,2,5,0,0,3,4,10,9
E0,31/08/2022,Liverpool,Newcastle,2,1,H,0,1,A,1.33,5.89,9.75,0-1,2-1,23,6,5,2,0,2,0,0,13,0,9,10
E0,01/09/2022,Leicester,Man United,0,1,A,0,1,A,3.45,3.86,2.11,0-1,0-1,10,2,9,2,1,3,0,0,1,3,7,15
E0,03/09/2022,Everton,Liverpool,0,0,D,0,0,D,8.08,5.21,1.41,0-0,0-0,14,3,23,8,2,2,0,0,7,9,7,11
E0,03/09/2022,Brentford,Leeds,5,2,H,2,1,H,2.21,3.59,3.44,2-1,5-2,14,8,17,6,2,2,0,0,2,6,8,9
E0,03/09/2022,Chelsea,West Ham,2,1,H,0,0,D,1.58,4.37,6.17,0-0,2-1,8,3,6,3,4,2,0,0,10,3,6,11
E0,03/09/2022,Newcastle,Crystal Palace,0,0,D,0,0,D,2.1,3.44,3.89,0-0,0-0,23,6,19,9,2,1,0,0,13,5,19,12
E0,03/09/2022,Nottm Forest,Bournemouth,2,3,A,2,0,H,2.05,3.51,4,2-0,2-3,11,3,8,3,2,1,0,0,4,6,13,10
E0,03/09/2022,Tottenham,Fulham,2,1,H,1,0,H,1.52,4.63,6.51,1-0,2-1,23,10,9,3,3,4,0,0,10,3,9,6
E0,03/09/2022,Wolves,Southampton,1,0,H,1,0,H,2.3,3.41,3.41,1-0,1-0,7,2,12,1,4,2,0,0,5,6,10,14
E0,03/09/2022,Aston Villa,Man City,1,1,D,0,0,D,9.25,5.98,1.33,0-0,1-1,3,1,13,4,2,0,0,0,1,4,7,6
E0,04/09/2022,Brighton,Leicester,5,2,H,2,2,D,1.85,3.63,4.85,2-2,5-2,23,11,6,4,1,1,0,0,10,1,6,8
E0,04/09/2022,Man United,Arsenal,3,1,H,1,0,H,2.7,3.58,2.68,1-0,3-1,10,6,16,3,3,3,0,0,2,5,13,9
E0,16/09/2022,Aston Villa,Southampton,1,0,H,1,0,H,2.14,3.62,3.6,1-0,1-0,11,3,7,1,3,1,0,0,6,3,13,13
E0,16/09/2022,Nottm Forest,Fulham,2,3,A,1,0,H,2.82,3.43,2.67,1-0,2-3,11,3,15,7,2,4,0,0,2,10,11,10
E0,17/09/2022,Wolves,Man City,0,3,A,0,2,A,9.3,5.52,1.36,0-2,0-3,6,1,16,7,2,1,1,0,5,7,7,9
E0,17/09/2022,Newcastle,Bournemouth,1,1,D,0,0,D,1.49,4.56,7.5,0-0,1-1,20,7,10,3,2,2,0,0,8,1,10,11
E0,17/09/2022,Tottenham,Leicester,6,2,H,2,2,D,1.52,4.46,7.04,2-2,6-2,16,11,19,7,1,2,0,0,6,1,9,9
E0,18/09/2022,Brentford,Arsenal,0,3,A,0,2,A,4.46,3.98,1.83,0-2,0-3,5,2,13,7,0,2,0,0,3,3,10,10
E0,18/09/2022,Everton,West Ham,1,0,H,0,0,D,2.96,3.39,2.57,0-0,1-0,7,2,14,4,3,1,0,0,5,14,8,11
E0,01/10/2022,Arsenal,Tottenham,3,1,H,1,1,D,2.13,3.65,3.57,1-1,3-1,22,9,7,3,2,1,0,1,5,2,10,10
E0,01/10/2022,Bournemouth,Brentford,0,0,D,0,0,D,3.45,3.49,2.25,0-0,0-0,7,1,13,4,1,2,0,0,7,8,11,10
E0,01/10/2022,Crystal Palace,Chelsea,1,2,A,1,1,D,4.42,3.56,1.93,1-1,1-2,7,3,13,3,1,3,0,0,5,2,11,13
E0,01/10/2022,Fulham,Newcastle,1,4,A,0,3,A,3.11,3.57,2.38,0-3,1-4,3,1,19,10,2,0,1,0,1,8,9,10
E0,01/10/2022,Liverpool,Brighton,3,3,D,1,2,A,1.38,5.49,8.42,1-2,3-3,15,7,6,6,1,1,0,0,9,2,9,13
E0,01/10/2022,Southampton,Everton,1,2,A,0,0,D,2.23,3.48,3.49,0-0,1-2,22,6,12,5,2,2,0,0,7,6,11,10
E0,01/10/2022,West Ham,Wolves,2,0,H,1,0,H,2.01,3.42,4.31,1-0,2-0,18,5,15,4,2,2,0,0,1,6,8,6
E0,02/10/2022,Man City,Man United,6,3,H,4,0,H,1.37,5.91,7.74,4-0,6-3,22,10,12,8,0,3,0,0,5,1,3,9
E0,02/10/2022,Leeds,Aston Villa,0,0,D,0,0,D,2.43,3.44,3.12,0-0,0-0,9,1,19,7,3,2,1,0,2,9,23,12
E0,03/10/2022,Leicester,Nottm Forest,4,0,H,3,0,H,1.78,4.2,4.48,3-0,4-0,17,7,10,3,2,4,0,0,6,6,13,12
E0,08/10/2022,Bournemouth,Leicester,2,1,H,0,1,A,3.64,3.7,2.09,0-1,2-1,10,4,9,5,1,2,0,0,7,2,8,16
E0,08/10/2022,Chelsea,Wolves,3,0,H,1,0,H,1.41,4.92,8.68,1-0,3-0,20,7,8,2,2,0,0,0,4,2,8,8
E0,08/10/2022,Man City,Southampton,4,0,H,2,0,H,1.13,10.77,20.4,2-0,4-0,21,8,5,0,0,1,0,0,9,1,4,8
E0,08/10/2022,Newcastle,Brentford,5,1,H,2,0,H,1.81,3.99,4.55,2-0,5-1,16,6,6,3,0,1,0,0,9,5,14,9
E0,08/10/2022,Brighton,Tottenham,0,1,A,0,1,A,2.82,3.45,2.65,0-1,0-1,14,4,8,3,1,2,0,0,6,2,9,14
E0,09/10/2022,Crystal Palace,Leeds,2,1,H,1,1,D,2.06,3.68,3.76,1-1,2-1,13,5,10,4,3,3,0,0,5,3,13,23
E0,09/10/2022,West Ham,Fulham,3,1,H,1,1,D,1.79,3.9,4.82,1-1,3-1,17,8,8,2,1,3,0,0,4,2,9,7
E0,09/10/2022,Arsenal,Liverpool,3,2,H,2,1,H,2.67,3.69,2.66,2-1,3-2,11,7,8,3,1,2,0,0,4,3,11,11
E0,09/10/2022,Everton,Man United,1,2,A,1,2,A,3.62,3.67,2.11,1-2,1-2,11,2,12,4,2,1,0,0,5,4,7,13
E0,10/10/2022,Nottm Forest,Aston Villa,1,1,D,1,1,D,3.4,3.6,2.22,1-1,1-1,6,3,12,2,3,3,0,0,1,4,13,19
E0,14/10/2022,Brentford,Brighton,2,0,H,1,0,H,3.32,3.52,2.29,1-0,2-0,7,3,21,7,3,1,0,0,2,11,12,15
E0,15/10/2022,Leicester,Crystal Palace,0,0,D,0,0,D,2.38,3.55,3.12,0-0,0-0,14,5,8,1,2,2,0,0,9,2,18,13
E0,15/10/2022,Fulham,Bournemouth,2,2,D,1,2,A,1.92,3.77,4.23,1-2,2-2,19,4,10,6,2,0,0,0,5,6,9,11
E0,15/10/2022,Wolves,Nottm Forest,1,0,H,0,0,D,1.74,3.78,5.41,0-0,1-0,9,2,10,2,2,2,0,0,4,5,17,13
E0,15/10/2022,Tottenham,Everton,2,0,H,0,0,D,1.48,4.67,7.26,0-0,2-0,21,7,4,0,1,4,0,0,7,1,12,13
E0,16/10/2022,Aston Villa,Chelsea,0,2,A,0,1,A,4.78,3.65,1.85,0-1,0-2,18,7,8,4,0,3,0,0,7,1,12,11
E0,16/10/2022,Leeds,Arsenal,0,1,A,0,1,A,6.23,4.49,1.56,0-1,0-1,16,4,9,4,0,2,0,0,6,3,10,11
E0,16/10/2022,Man United,Newcastle,0,0,D,0,0,D,2.04,3.71,3.8,0-0,0-0,15,2,9,2,3,1,0,0,4,4,13,11
E0,16/10/2022,Southampton,West Ham,1,1,D,1,0,H,3.08,3.42,2.47,1-0,1-1,10,8,25,4,1,1,0,0,4,14,7,3
E0,16/10/2022,Liverpool,Man City,1,0,H,0,0,D,4,4.11,1.88,0-0,1-0,13,2,16,6,3,1,0,0,5,6,10,7
E0,18/10/2022,Brighton,Nottm Forest,0,0,D,0,0,D,1.39,5.17,8.97,0-0,0-0,19,7,3,0,3,1,0,0,9,1,10,14
E0,18/10/2022,Crystal Palace,Wolves,2,1,H,0,1,A,2.32,3.21,3.58,0-1,2-1,14,4,10,4,3,1,0,0,4,3,14,18
E0,19/10/2022,Bournemouth,Southampton,0,1,A,0,1,A,2.76,3.4,2.74,0-1,0-1,15,3,9,3,1,3,0,0,7,3,8,13
E0,19/10/2022,Brentford,Chelsea,0,0,D,0,0,D,4.85,3.93,1.78,0-0,0-0,8,5,14,5,0,0,0,0,6,2,7,7
E0,19/10/2022,Liverpool,West Ham,1,0,H,1,0,H,1.45,5.1,7.08,1-0,1-0,22,7,8,3,0,0,0,0,8,3,9,8
E0,19/10/2022,Newcastle,Everton,1,0,H,1,0,H,1.65,4.06,5.81,1-0,1-0,16,4,1,0,2,4,0,0,8,2,9,12
E0,19/10/2022,Man United,Tottenham,2,0,H,0,0,D,2.49,3.59,2.93,0-0,2-0,28,10,9,2,1,0,0,0,8,3,7,7
E0,20/10/2022,Fulham,Aston Villa,3,0,H,1,0,H,2.94,3.47,2.54,1-0,3-0,18,8,12,6,0,2,0,1,9,7,11,11
E0,20/10/2022,Leicester,Leeds,2,0,H,2,0,H,2.36,3.65,3.08,2-0,2-0,5,1,14,2,2,1,0,0,2,9,15,11
E0,22/10/2022,Nottm Forest,Liverpool,1,0,H,0,0,D,11.14,5.8,1.3,0-0,1-0,10,7,15,7,2,1,0,0,2,11,14,8
E0,22/10/2022,Everton,Crystal Palace,3,0,H,1,0,H,2.69,3.19,2.97,1-0,3-0,9,6,9,2,3,4,0,0,3,4,16,14
E0,22/10/2022,Man City,Brighton,3,1,H,2,0,H,1.21,7.21,15.39,2-0,3-1,10,4,8,2,1,3,0,0,7,3,11,12
E0,22/10/2022,Chelsea,Man United,1,1,D,0,0,D,2.15,3.54,3.64,0-0,1-1,6,2,13,6,1,4,0,0,6,4,8,10
E0,23/10/2022,Aston Villa,Brentford,4,0,H,3,0,H,2.23,3.46,3.51,3-0,4-0,19,11,12,3,1,0,0,0,7,6,14,11
E0,23/10/2022,Leeds,Fulham,2,3,A,1,1,D,2.06,3.69,3.75,1-1,2-3,14,5,11,5,1,1,0,0,3,6,12,8
E0,23/10/2022,Southampton,Arsenal,1,1,D,0,1,A,6.2,4.31,1.58,0-1,1-1,10,3,12,3,2,1,0,0,9,4,11,8
E0,23/10/2022,Wolves,Leicester,0,4,A,0,2,A,2.3,3.35,3.46,0-2,0-4,21,5,5,4,2,1,0,0,9,2,10,13
E0,23/10/2022,Tottenham,Newcastle,1,2,A,0,2,A,2.12,3.62,3.63,0-2,1-2,17,5,13,5,4,2,0,0,6,7,12,6
E0,24/10/2022,West Ham,Bournemouth,2,0,H,1,0,H,1.59,4.12,6.53,1-0,2-0,20,4,5,3,0,2,0,0,5,0,9,11
E0,29/10/2022,Leicester,Man City,0,1,A,0,0,D,9.62,5.93,1.32,0-0,0-1,10,5,15,5,0,0,0,0,3,10,5,10
E0,29/10/2022,Bournemouth,Tottenham,2,3,A,1,0,H,5.41,3.85,1.72,1-0,2-3,6,4,23,7,1,2,0,0,2,19,10,5
E0,29/10/2022,Brentford,Wolves,1,1,D,0,0,D,2.24,3.5,3.44,0-0,1-1,12,3,14,4,3,3,0,1,3,6,10,17
E0,29/10/2022,Brighton,Chelsea,4,1,H,3,0,H,3.17,3.43,2.41,3-0,4-1,19,9,15,7,1,2,0,0,8,7,16,6
E0,29/10/2022,Crystal Palace,Southampton,1,0,H,1,0,H,1.96,3.62,4.22,1-0,1-0,12,3,14,4,3,3,0,0,8,4,13,12
E0,29/10/2022,Newcastle,Aston Villa,4,0,H,1,0,H,1.83,3.82,4.6,1-0,4-0,20,7,3,0,1,1,0,0,3,0,11,11
E0,29/10/2022,Fulham,Everton,0,0,D,0,0,D,2.39,3.46,3.18,0-0,0-0,24,6,9,4,2,1,0,0,13,4,10,8
E0,29/10/2022,Liverpool,Leeds,1,2,A,1,1,D,1.32,5.98,9.43,1-1,1-2,22,10,14,6,0,1,0,0,14,5,9,3
E0,30/10/2022,Arsenal,Nottm Forest,5,0,H,1,0,H,1.2,7.4,16.85,1-0,5-0,24,10,5,2,0,1,0,0,9,4,9,8
E0,30/10/2022,Man United,West Ham,1,0,H,1,0,H,1.71,4.05,5.14,1-0,1-0,16,3,13,5,1,3,0,0,5,10,12,10
E0,05/11/2022,Leeds,Bournemouth,4,3,H,1,2,A,1.74,3.99,5.08,1-2,4-3,18,4,9,6,2,2,0,0,13,3,16,10
E0,05/11/2022,Man City,Fulham,2,1,H,1,1,D,1.13,10.33,22.62,1-1,2-1,16,5,4,2,2,4,1,0,9,0,6,11
E0,05/11/2022,Nottm Forest,Brentford,2,2,D,1,1,D,2.83,3.43,2.66,1-1,2-2,15,7,6,2,2,2,0,0,3,3,10,11
E0,05/11/2022,Wolves,Brighton,2,3,A,2,2,D,3.49,3.33,2.3,2-2,2-3,8,5,19,8,2,0,1,0,4,9,15,11
E0,05/11/2022,Everton,Leicester,0,2,A,0,1,A,2.48,3.36,3.12,0-1,0-2,12,2,22,8,0,0,0,0,8,3,9,5
E0,06/11/2022,Chelsea,Arsenal,0,1,A,0,0,D,2.72,3.5,2.71,0-0,0-1,5,1,14,2,5,2,0,0,4,6,20,13
E0,06/11/2022,Aston Villa,Man United,3,1,H,2,1,H,3.38,3.63,2.22,2-1,3-1,6,4,8,3,3,3,0,0,3,5,6,12
E0,06/11/2022,Southampton,Newcastle,1,4,A,0,1,A,4.22,3.71,1.93,0-1,1-4,16,5,7,4,1,0,0,0,8,2,7,10
E0,06/11/2022,West Ham,Crystal Palace,1,2,A,1,1,D,1.95,3.56,4.34,1-1,1-2,5,2,15,6,1,1,0,0,2,5,10,7
E0,06/11/2022,Tottenham,Liverpool,1,2,A,0,2,A,3.33,3.76,2.19,0-2,1-2,14,5,13,6,0,0,0,0,5,3,10,8
E0,12/11/2022,Man City,Brentford,1,2,A,1,1,D,1.15,9.28,20.24,1-1,1-2,29,6,10,8,2,2,0,0,10,2,9,7
E0,12/11/2022,Bournemouth,Everton,3,0,H,2,0,H,2.94,3.32,2.63,2-0,3-0,16,9,15,3,2,0,0,0,3,5,12,8
E0,12/11/2022,Liverpool,Southampton,3,1,H,3,1,H,1.26,6.49,11.55,3-1,3-1,15,7,9,5,0,2,0,0,6,0,8,8
E0,12/11/2022,Nottm Forest,Crystal Palace,1,0,H,0,0,D,3.25,3.31,2.43,0-0,1-0,9,2,8,0,1,4,0,0,1,5,11,13
E0,12/11/2022,Tottenham,Leeds,4,3,H,1,2,A,1.67,4.35,5.15,1-2,4-3,14,8,12,5,1,1,0,1,9,2,8,7
E0,12/11/2022,West Ham,Leicester,0,2,A,0,1,A,2.14,3.56,3.64,0-1,0-2,18,6,9,6,3,1,0,0,7,2,9,8
E0,12/11/2022,Newcastle,Chelsea,1,0,H,0,0,D,2.36,3.53,3.18,0-0,1-0,10,3,5,2,3,2,0,0,5,3,14,11
E0,12/11/2022,Wolves,Arsenal,0,2,A,0,0,D,6.5,4.3,1.56,0-0,0-2,11,2,14,4,3,2,0,0,6,4,5,6
E0,13/11/2022,Brighton,Aston Villa,1,2,A,1,1,D,1.88,3.84,4.33,1-1,1-2,7,2,8,2,2,7,0,0,11,4,14,11
E0,13/11/2022,Fulham,Man United,1,2,A,0,1,A,4,4.02,1.91,0-1,1-2,14,7,14,9,1,1,0,0,10,3,9,10
E0,26/12/2022,Brentford,Tottenham,2,2,D,1,0,H,4,3.89,1.93,1-0,2-2,9,5,16,8,3,1,0,0,6,5,11,10
E0,26/12/2022,Crystal Palace,Fulham,0,3,A,0,1,A,2.09,3.66,3.68,0-1,0-3,4,0,23,11,0,0,2,0,1,8,12,15
E0,26/12/2022,Everton,Wolves,1,2,A,1,1,D,2.41,3.26,3.34,1-1,1-2,12,6,7,4,1,6,0,0,2,2,9,22
E0,26/12/2022,Leicester,Newcastle,0,3,A,0,3,A,3.36,3.64,2.22,0-3,0-3,8,2,12,5,0,0,0,0,5,5,9,6
E0,26/12/2022,Southampton,Brighton,1,3,A,0,2,A,3.5,3.6,2.18,0-2,1-3,14,4,7,4,1,2,0,0,4,2,9,10
E0,26/12/2022,Aston Villa,Liverpool,1,3,A,0,2,A,4.51,4.09,1.79,0-2,1-3,12,6,16,9,0,0,0,0,0,6,7,12
E0,26/12/2022,Arsenal,West Ham,3,1,H,0,1,A,1.52,4.48,6.85,0-1,3-1,16,5,8,4,0,2,0,0,7,5,13,17
E0,27/12/2022,Chelsea,Bournemouth,2,0,H,2,0,H,1.32,5.72,10.69,2-0,2-0,15,5,9,4,0,0,0,0,6,8,8,10
E0,27/12/2022,Man United,Nottm Forest,3,0,H,2,0,H,1.31,5.7,11.66,2-0,3-0,17,8,8,3,3,1,0,0,9,9,13,4
E0,28/12/2022,Leeds,Man City,1,3,A,0,1,A,9.78,6.09,1.31,0-1,1-3,9,1,26,9,3,3,0,0,3,5,11,14
E0,30/12/2022,West Ham,Brentford,0,2,A,0,2,A,2.08,3.66,3.73,0-2,0-2,20,5,9,6,1,0,0,0,8,1,9,5
E0,30/12/2022,Liverpool,Leicester,2,1,H,2,1,H,1.31,6.08,9.55,2-1,2-1,21,5,7,2,0,1,0,0,4,5,8,15
E0,31/12/2022,Wolves,Man United,0,1,A,0,0,D,4.16,3.71,1.94,0-0,0-1,10,3,16,6,1,3,0,0,7,5,11,11
E0,31/12/2022,Bournemouth,Crystal Palace,0,2,A,0,2,A,2.97,3.32,2.6,0-2,0-2,6,2,15,6,4,1,0,0,2,7,17,11
E0,31/12/2022,Fulham,Southampton,2,1,H,1,0,H,2.04,3.59,3.95,1-0,2-1,8,2,9,3,0,1,0,0,4,4,8,13
E0,31/12/2022,Man City,Everton,1,1,D,1,0,H,1.16,7.97,23.85,1-0,1-1,16,3,2,1,3,4,0,0,7,1,13,14
E0,31/12/2022,Newcastle,Leeds,0,0,D,0,0,D,1.49,4.8,6.8,0-0,0-0,16,5,8,1,3,5,0,0,9,3,13,19
E0,31/12/2022,Brighton,Arsenal,2,4,A,0,2,A,3.6,3.62,2.13,0-2,2-4,9,5,14,7,3,3,0,0,7,4,7,11
E0,01/01/2023,Tottenham,Aston Villa,0,2,A,0,0,D,1.7,4.21,5.01,0-0,0-2,6,2,13,4,4,3,0,0,5,3,15,10
E0,01/01/2023,Nottm Forest,Chelsea,1,1,D,0,1,A,5.43,3.98,1.7,0-1,1-1,12,5,7,2,2,2,0,0,1,2,16,14
E0,02/01/2023,Brentford,Liverpool,3,1,H,2,0,H,5.76,4.56,1.58,2-0,3-1,10,7,16,6,1,3,0,0,4,9,5,8
E0,03/01/2023,Arsenal,Newcastle,0,0,D,0,0,D,1.83,3.95,4.45,0-0,0-0,17,4,8,1,4,4,0,0,5,5,10,16
E0,03/01/2023,Everton,Brighton,1,4,A,0,1,A,3.67,3.51,2.15,0-1,1-4,10,4,19,8,3,1,0,0,5,2,8,10
E0,03/01/2023,Leicester,Fulham,0,1,A,0,1,A,2.26,3.73,3.2,0-1,0-1,15,6,11,2,2,6,0,0,6,3,12,11
E0,03/01/2023,Man United,Bournemouth,3,0,H,1,0,H,1.29,6.02,10.83,1-0,3-0,18,6,7,4,0,3,0,0,6,5,13,7
E0,04/01/2023,Southampton,Nottm Forest,0,1,A,0,1,A,2.1,3.52,3.82,0-1,0-1,8,0,11,1,2,2,0,0,6,2,14,17
E0,04/01/2023,Leeds,West Ham,2,2,D,1,1,D,2.65,3.59,2.73,1-1,2-2,14,6,15,2,3,1,0,0,8,1,11,18
E0,04/01/2023,Aston Villa,Wolves,1,1,D,0,1,A,1.99,3.76,3.93,0-1,1-1,13,4,10,3,1,3,0,0,7,8,6,12
E0,04/01/2023,Crystal Palace,Tottenham,0,4,A,0,0,D,3.39,3.58,2.23,0-0,0-4,19,4,14,6,1,2,0,0,10,4,11,8
E0,05/01/2023,Chelsea,Man City,0,1,A,0,0,D,5.6,4.19,1.65,0-0,0-1,8,2,12,3,2,0,0,0,3,2,9,9
E0,12/01/2023,Fulham,Chelsea,2,1,H,1,0,H,3.43,3.6,2.21,1-0,2-1,8,3,20,10,4,3,0,1,5,7,12,16
E0,13/01/2023,Aston Villa,Leeds,2,1,H,1,0,H,1.96,3.7,4.11,1-0,2-1,11,5,16,4,2,2,0,0,0,11,12,8
