division,HomeTeam,avg_HCO,home_coas,home_cods
D2,Braunschweig,5.81045751633987,1.09,0.92
D2,"Hansa Rostock",5.81045751633987,1.01,1.4
D2,Paderborn,5.81045751633987,0.94,0.84
D2,Darmstadt,5.81045751633987,1.24,0.87
D2,"Fortuna Dusseldorf",5.81045751633987,0.84,0.83
D2,Heidenheim,5.81045751633987,1.01,0.78
D2,"Holstein Kiel",5.81045751633987,1.08,1.15
D2,Nurnberg,5.81045751633987,1.01,1.09
D2,Hannover,5.81045751633987,0.65,1.09
D2,Bielefeld,5.81045751633987,0.69,1.26
D2,Hamburg,5.81045751633987,1.03,1.15
D2,Karlsruhe,5.81045751633987,1.38,0.79
F1,Lyon,4.79333333333333,1.12,0.98
F1,Strasbourg,4.79333333333333,0.65,0.79
F1,Clermont,4.79333333333333,0.83,0.87
F1,Toulouse,4.79333333333333,0.89,1.52
F1,Angers,4.79333333333333,0.83,1.06
F1,Lens,4.79333333333333,1.23,0.79
F1,Lille,4.79333333333333,1.02,1.06
F1,Montpellier,4.79333333333333,1.15,1.27
F1,Rennes,4.79333333333333,0.89,0.73
F1,Marseille,4.79333333333333,1.54,0.84
F1,Nantes,4.79333333333333,0.92,1.33
F1,Monaco,4.79333333333333,0.91,1.03
F1,"Paris SG",4.79333333333333,1.19,0.77
F1,Ajaccio,4.79333333333333,0.69,0.74
F1,Auxerre,4.79333333333333,0.77,1.02
F1,Reims,4.79333333333333,1.1,0.93
F1,Troyes,4.79333333333333,1.28,0.99
F1,Nice,4.79333333333333,1.07,0.99
F1,Brest,4.79333333333333,1.25,0.99
F1,Lorient,4.79333333333333,0.63,1.3
F2,Dijon,4.55333333333333,0.93,1.17
F2,Annecy,4.55333333333333,1.0,0.46
F2,Bastia,4.55333333333333,1.25,0.91
F2,Bordeaux,4.55333333333333,0.91,0.68
F2,Guingamp,4.55333333333333,0.82,0.86
F2,"Le Havre",4.55333333333333,1.1,0.74
F2,Metz,4.55333333333333,1.13,1.41
F2,Nimes,4.55333333333333,0.66,1.51
F2,"Quevilly Rouen",4.55333333333333,0.63,0.77
F2,Sochaux,4.55333333333333,1.1,0.83
F2,"St Etienne",4.55333333333333,1.54,1.26
F2,Amiens,4.55333333333333,1.21,0.92
F2,Grenoble,4.55333333333333,0.88,1.17
F2,Laval,4.55333333333333,1.13,1.11
F2,Niort,4.55333333333333,0.91,1.08
F2,"Paris FC",4.55333333333333,1.04,1.3
F2,"Pau FC",4.55333333333333,1.04,0.95
F2,Rodez,4.55333333333333,0.88,0.84
F2,Valenciennes,4.55333333333333,0.69,1.3
F2,Caen,4.55333333333333,1.15,0.74
I1,Milan,4.80666666666667,1.04,0.82
I1,Sampdoria,4.80666666666667,0.83,0.79
I1,Lecce,4.80666666666667,0.92,1.42
I1,Monza,4.80666666666667,0.83,1.07
I1,Fiorentina,4.80666666666667,1.31,0.61
I1,Lazio,4.80666666666667,0.83,1.02
I1,Salernitana,4.80666666666667,0.8,1.03
I1,Spezia,4.80666666666667,1.13,1.0
I1,Verona,4.80666666666667,1.04,1.3
I1,Juventus,4.80666666666667,0.88,0.96
I1,Torino,4.80666666666667,0.98,0.71
I1,Udinese,4.80666666666667,1.01,1.07
I1,Inter,4.80666666666667,1.19,0.87
I1,Sassuolo,4.80666666666667,0.8,1.03
I1,Empoli,4.80666666666667,0.88,1.67
I1,Napoli,4.80666666666667,1.48,0.82
I1,Atalanta,4.80666666666667,0.86,0.93
I1,Bologna,4.80666666666667,1.01,1.36
I1,Roma,4.80666666666667,1.25,0.68
I1,Cremonese,4.80666666666667,0.95,0.71
I2,Parma,4.9,1.1,0.85
I2,Cittadella,4.9,0.85,0.66
I2,Como,4.9,0.94,1.1
I2,Palermo,4.9,1.02,1.13
I2,Ascoli,4.9,0.97,0.94
I2,Benevento,4.9,1.25,0.83
I2,Brescia,4.9,0.77,1.27
I2,Modena,4.9,1.17,0.94
I2,Spal,4.9,0.69,0.96
I2,Venezia,4.9,1.1,1.51
I2,Bari,4.9,1.43,1.07
I2,Genoa,4.9,1.28,0.47
I2,Perugia,4.9,1.17,0.98
I2,Cagliari,4.9,1.05,0.85
I2,Cosenza,4.9,0.82,1.16
I2,Frosinone,4.9,1.08,0.82
I2,Pisa,4.9,1.14,1.13
I2,Sudtirol,4.9,0.59,1.21
I2,Ternana,4.9,0.96,0.94
I2,Reggina,4.9,0.73,1.07
P1,Benfica,5.74358974358974,1.69,0.44
P1,"Rio Ave",5.74358974358974,0.67,1.23
P1,Estoril,5.74358974358974,0.44,1.47
P1,Porto,5.74358974358974,0.87,0.89
P1,"Santa Clara",5.74358974358974,0.8,1.08
P1,"Sp Braga",5.74358974358974,1.19,0.48
P1,Chaves,5.74358974358974,0.81,1.2
P1,Portimonense,5.74358974358974,1.07,1.29
P1,"Gil Vicente",5.74358974358974,1.12,0.94
P1,Famalicao,5.74358974358974,0.61,1.16
P1,"Casa Pia",5.74358974358974,0.9,0.64
P1,"Sp Lisbon",5.74358974358974,1.42,0.51
P1,Boavista,5.74358974358974,1.07,1.08
P1,Vizela,5.74358974358974,1.25,1.2
P1,Guimaraes,5.74358974358974,0.9,0.97
P1,Maritimo,5.74358974358974,1.25,1.2
P1,Arouca,5.74358974358974,0.77,1.14
P1,"Pacos Ferreira",5.74358974358974,1.12,1.14
N1,Heerenveen,6.15873015873016,0.79,1.13
N1,"For Sittard",6.15873015873016,0.93,1.16
N1,Cambuur,6.15873015873016,1.02,0.96
N1,"PSV Eindhoven",6.15873015873016,1.21,0.64
N1,Waalwijk,6.15873015873016,1.21,1.02
N1,Groningen,6.15873015873016,0.7,1.28
N1,Nijmegen,6.15873015873016,1.11,1.13
N1,Vitesse,6.15873015873016,1.09,0.73
N1,"AZ Alkmaar",6.15873015873016,0.81,0.91
N1,Excelsior,6.15873015873016,0.76,1.56
N1,"Go Ahead Eagles",6.15873015873016,0.89,1.32
N1,"FC Emmen",6.15873015873016,0.9,0.75
N1,Utrecht,6.15873015873016,1.07,1.16
N1,Feyenoord,6.15873015873016,1.41,0.52
N1,Volendam,6.15873015873016,0.9,1.45
N1,Ajax,6.15873015873016,1.62,0.49
N1,Twente,6.15873015873016,0.95,0.7
N1,"Sparta Rotterdam",6.15873015873016,0.63,1.09
B1,Standard,5.62913907284768,0.95,1.28
B1,Charleroi,5.62913907284768,0.64,0.9
B1,Kortrijk,5.62913907284768,0.87,1.26
B1,Waregem,5.62913907284768,0.87,1.04
B1,"St Truiden",5.62913907284768,0.98,0.68
B1,"Club Brugge",5.62913907284768,1.26,0.63
B1,Mechelen,5.62913907284768,1.24,0.99
B1,Anderlecht,5.62913907284768,1.38,0.95
B1,Westerlo,5.62913907284768,0.71,1.23
B1,"St. Gilloise",5.62913907284768,0.98,0.9
B1,"Cercle Brugge",5.62913907284768,1.09,1.01
B1,Oostende,5.62913907284768,0.82,1.28
B1,"Oud-Heverlee Leuven",5.62913907284768,1.07,1.23
B1,Gent,5.62913907284768,1.04,0.85
B1,Genk,5.62913907284768,1.28,0.9
B1,Eupen,5.62913907284768,1.11,1.06
B1,Seraing,5.62913907284768,0.64,1.01
B1,Antwerp,5.62913907284768,0.95,0.85
T1,Istanbulspor,5.392,0.71,1.01
T1,Sivasspor,5.392,1.11,0.94
T1,Besiktas,5.392,1.09,0.9
T1,Giresunspor,5.392,1.24,1.09
T1,Karagumruk,5.392,0.93,1.28
T1,Antalyaspor,5.392,1.06,0.83
T1,Buyuksehyr,5.392,0.86,1.03
T1,Ankaragucu,5.392,0.98,0.9
T1,Fenerbahce,5.392,0.9,0.61
T1,Trabzonspor,5.392,1.27,0.73
T1,Kayserispor,5.392,1.06,1.39
T1,"Ad. Demirspor",5.392,0.7,0.68
T1,Galatasaray,5.392,1.48,1.07
T1,Gaziantep,5.392,0.74,1.07
T1,Umraniyespor,5.392,0.98,1.21
T1,Alanyaspor,5.392,1.27,0.69
T1,Konyaspor,5.392,0.87,1.05
T1,Kasimpasa,5.392,1.06,1.25
T1,Hatayspor,5.392,0.65,1.29
G1,"Volos NFC",4.93406593406593,1.16,1.28
G1,Atromitos,4.93406593406593,1.04,0.95
G1,Lamia,4.93406593406593,0.88,1.07
G1,PAOK,4.93406593406593,1.13,0.91
G1,Panathinaikos,4.93406593406593,1.01,0.73
G1,Aris,4.93406593406593,1.42,0.73
G1,Olympiakos,4.93406593406593,0.96,0.99
G1,Ionikos,4.93406593406593,0.88,0.51
G1,Giannina,4.93406593406593,1.01,0.94
G1,AEK,4.93406593406593,1.96,0.68
G1,Panetolikos,4.93406593406593,0.41,1.75
G1,"OFI Crete",4.93406593406593,0.72,1.13
G1,"Asteras Tripolis",4.93406593406593,0.71,1.02
G1,Levadeiakos,4.93406593406593,0.57,1.48
SC0,Livingston,5.33333333333333,0.82,1.08
SC0,Hearts,5.33333333333333,0.94,1.05
SC0,Kilmarnock,5.33333333333333,0.82,0.96
SC0,"St Johnstone",5.33333333333333,0.63,1.54
SC0,"St Mirren",5.33333333333333,1.13,1.13
SC0,Celtic,5.33333333333333,1.34,0.58
SC0,Aberdeen,5.33333333333333,0.91,0.88
SC0,Motherwell,5.33333333333333,0.72,0.77
SC0,Rangers,5.33333333333333,1.71,0.58
SC0,"Ross County",5.33333333333333,0.8,1.49
SC0,Hibernian,5.33333333333333,1.01,0.82
SC0,"Dundee United",5.33333333333333,1.15,1.01
SC1,Ayr,5.94117647058824,1.1,1.14
SC1,"Cove Rangers",5.94117647058824,0.73,0.97
SC1,Dundee,5.94117647058824,1.37,1.21
SC1,Hamilton,5.94117647058824,1.35,0.77
SC1,"Inverness C",5.94117647058824,0.88,1.01
SC1,"Queens Park",5.94117647058824,1.33,1.25
SC1,Arbroath,5.94117647058824,0.88,0.9
SC1,Morton,5.94117647058824,0.76,1.16
SC1,Partick,5.94117647058824,1.01,0.77
SC1,"Raith Rvs",5.94117647058824,0.61,0.77
SC2,Dunfermline,4.89411764705882,1.25,0.95
SC2,Falkirk,4.89411764705882,1.5,0.75
SC2,"Kelty Hearts",4.89411764705882,0.82,0.86
SC2,Peterhead,4.89411764705882,0.77,1.34
SC2,"Queen of Sth",4.89411764705882,1.05,0.7
SC2,"Airdrie Utd",4.89411764705882,1.28,0.67
SC2,Alloa,4.89411764705882,0.97,1.0
SC2,Clyde,4.89411764705882,0.77,0.97
SC2,"FC Edinburgh",4.89411764705882,0.66,1.52
SC2,Montrose,4.89411764705882,0.91,1.26
SC3,"Bonnyrigg Rose",5.06172839506173,1.11,0.92
SC3,Dumbarton,5.06172839506173,0.93,0.98
SC3,Elgin,5.06172839506173,0.77,1.18
SC3,Stenhousemuir,5.06172839506173,1.31,1.13
SC3,Stranraer,5.06172839506173,0.93,0.88
SC3,"Albion Rvs",5.06172839506173,0.84,1.18
SC3,"Annan Athletic",5.06172839506173,0.71,0.95
SC3,"East Fife",5.06172839506173,0.79,0.89
SC3,Forfar,5.06172839506173,1.19,1.17
SC3,Stirling,5.06172839506173,1.38,0.7
