division,AwayTeam,avg_ACO,away_coas,away_cods
B1,"Club Brugge",4.58278145695364,1.09,0.69
B1,Kortrijk,4.58278145695364,0.95,1.38
B1,Waregem,4.58278145695364,1.23,0.98
T1,Trabzonspor,4.12,1.25,0.77
T1,Gaziantep,4.12,1.03,0.97
T1,Kayserispor,4.12,0.94,1.09
T1,"Ad. Demirspor",4.12,0.85,0.9
T1,Alanyaspor,4.12,1.28,1.19
T1,Galatasaray,4.12,1.91,0.63
T1,Kasimpasa,4.12,0.97,1.51
T1,Konyaspor,4.12,0.85,1.02
T1,Umraniyespor,4.12,1.05,0.93
T1,Hatayspor,4.12,0.97,1.32
T1,Istanbulspor,4.12,0.66,1.38
T1,Sivasspor,4.12,0.77,0.99
T1,Giresunspor,4.12,0.73,1.03
T1,Ankaragucu,4.12,0.73,0.83
T1,Antalyaspor,4.12,0.78,0.7
T1,Besiktas,4.12,1.33,1.02
T1,Buyuksehyr,4.12,1.12,0.74
T1,Fenerbahce,4.12,0.87,0.59
T1,Karagumruk,4.12,0.69,1.24
G1,"Asteras Tripolis",3.91208791208791,0.88,0.75
G1,"OFI Crete",3.91208791208791,0.72,1.01
G1,AEK,3.91208791208791,1.02,0.58
G1,Panetolikos,3.91208791208791,0.73,0.9
G1,Ionikos,3.91208791208791,0.69,1.19
G1,Levadeiakos,3.91208791208791,1.15,1.32
G1,Giannina,3.91208791208791,0.84,1.22
G1,Lamia,3.91208791208791,0.95,1.24
G1,"Volos NFC",3.91208791208791,1.02,1.01
G1,Aris,3.91208791208791,1.11,0.91
G1,Panathinaikos,3.91208791208791,1.33,0.65
G1,Atromitos,3.91208791208791,0.77,1.28
G1,Olympiakos,3.91208791208791,1.32,0.74
G1,PAOK,3.91208791208791,1.62,1.05
SC0,Rangers,5.19354838709677,1.38,0.59
SC0,"Ross County",5.19354838709677,0.55,1.15
SC0,"Dundee United",5.19354838709677,0.89,0.96
SC0,Hibernian,5.19354838709677,1.56,0.77
SC0,Motherwell,5.19354838709677,1.11,1.23
SC0,Aberdeen,5.19354838709677,0.87,1.31
SC0,"St Mirren",5.19354838709677,1.16,1.0
SC0,"St Johnstone",5.19354838709677,0.53,1.05
SC0,Kilmarnock,5.19354838709677,0.96,0.89
SC0,Celtic,5.19354838709677,1.59,0.54
SC0,Hearts,5.19354838709677,0.72,1.01
SC0,Livingston,5.19354838709677,0.72,1.47
SC1,Arbroath,5.04705882352941,1.16,0.88
SC1,"Raith Rvs",5.04705882352941,1.03,1.08
SC1,Partick,5.04705882352941,1.23,0.84
SC1,Morton,5.04705882352941,1.01,0.92
SC1,"Queens Park",5.04705882352941,0.99,1.3
SC1,Ayr,5.04705882352941,1.06,0.82
SC1,"Inverness C",5.04705882352941,0.79,1.47
SC1,"Cove Rangers",5.04705882352941,0.89,0.84
SC1,Hamilton,5.04705882352941,0.95,0.99
SC1,Dundee,5.04705882352941,0.86,0.88
SC2,Alloa,5.02352941176471,0.95,0.98
SC2,Montrose,5.02352941176471,0.95,0.87
SC2,"FC Edinburgh",5.02352941176471,0.73,1.09
SC2,"Airdrie Utd",5.02352941176471,1.22,0.89
SC2,Clyde,5.02352941176471,0.97,1.15
SC2,Falkirk,5.02352941176471,1.19,0.79
SC2,"Kelty Hearts",5.02352941176471,1.0,1.07
SC2,Peterhead,5.02352941176471,0.58,1.59
SC2,Dunfermline,5.02352941176471,1.24,0.72
SC2,"Queen of Sth",5.02352941176471,1.22,0.82
SC3,Forfar,4.64197530864198,1.14,0.9
SC3,Stirling,4.64197530864198,1.08,0.69
SC3,"East Fife",4.64197530864198,0.97,0.81
SC3,"Albion Rvs",4.64197530864198,0.94,0.99
SC3,"Annan Athletic",4.64197530864198,1.34,0.97
SC3,Dumbarton,4.64197530864198,0.74,0.88
SC3,Stenhousemuir,4.64197530864198,0.97,1.06
SC3,"Bonnyrigg Rose",4.64197530864198,0.94,0.91
SC3,Stranraer,4.64197530864198,1.29,1.33
SC3,Elgin,4.64197530864198,0.59,1.51
